y_m,q_m,vnormal_m_s,speed_m_s,x_m,z_m,vx_m_s,vy_m_s,vz_m_s
-0.032542311,0.021847928150794022,0.16497180808969064,0.21994008647464616,-0.0088748904,0.019967556,0.20790824,-0.024076285,-0.067588001
-0.026900887,0.021645708704002536,0.15147423277109956,0.200743132487393,-0.0094442759,0.019506183,0.19056295,-0.015153213,-0.061269466
-0.035778981,0.02027976729908,0.14031460537455828,0.1940178425640925,-0.0091263875,0.018157214,0.18058571,-0.025152724,-0.066325448
-0.027974427,0.019067150542019944,0.18750206692981788,0.22765042492813894,-0.0052560288,0.018482745,0.22201528,-0.025905969,-0.043160308
-0.021997331,0.017750101957659123,0.17902136057408924,0.21364468926397193,-0.0046834191,0.017295014,0.21034712,-0.0010655258,-0.037376557
-0.022086442,0.017655594479305214,0.18260832784165235,0.21755194054621724,-0.0045068711,0.017267285,0.214284,-0.0026700413,-0.037471123
-0.033603169,0.028050155846255823,0.20891000319179046,0.27923923665054956,-0.00433964,0.02863051,0.26435596,-0.018040851,-0.088119268
-0.022090362,0.025341641116051746,0.22108460385311396,0.28813137942478484,0.00035031099,0.027678853,0.27552038,-0.013250331,-0.083262481
-0.030730575,0.02433239797742707,0.2202715947923385,0.28804543220516104,0.0019876231,0.027277449,0.27503487,-0.015376848,-0.084199429
-0.020096768,0.021808847367492067,0.21983903659855675,0.2816447094300884,0.0044759177,0.025592182,0.27095264,-0.01339896,-0.075689346
-0.032756008,0.013342891604351259,0.17158202998210487,0.2191814818005913,0.0031612152,0.015837045,0.21092646,-0.014557365,-0.05778091
-0.021808341,0.012747803538416145,0.16678306989560387,0.21702300336847358,0.0037187326,0.015427217,0.20764062,-0.010016516,-0.062321957
-0.032965012,0.014157978628135493,0.17295419048522023,0.22531480803513196,0.0041419324,0.017138813,0.2153554,-0.014224211,-0.064703062
-0.026625564,0.011663298254366601,0.15546486877726828,0.20968291072741668,0.0059005218,0.015175168,0.19759555,-0.018706122,-0.06762398
-0.034147881,0.020379429734593505,0.22856284142734357,0.2893469775067772,0.008910981,0.025921892,0.27945286,-0.01555676,-0.073387735
